label,folder,L,T,epoch,scale_s,L_s,source,metric,value
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_rms_g,0.039354126900434494
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_ks,0.0016875000000000084
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_w1,0.01307503972956431
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,2,8,cross_gauge,v5_gauge_rms_g,0.04270657151937485
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_ks,0.002375000000000016
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_w1,0.009965694337091139
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_rms_g,0.01820659451186657
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_ks,0.0055
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_w1,0.005342898457606448
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_rms_g,nan
